267,Special-Karte der Vereinicten Staaten von Nord-Amerika.,"Smith, J. Calvin (John Calvin) | Th. Fischer",1850,,,General Note: Relief shown by hachures.,,still image,,"Druck u. Verlag von Th. Fischer,",Cassel :,http://digitalcollections.nypl.org/items/f2666370-c52a-012f-e37d-3c075448cc4b
58051,"Suta boum pulso simul ac mea Tympana pelle, miles ad excubias promptus et arma ruit.","Vinkhuijzen, Hendrik Jacobus | Goltzius, Hendrik (1558-1617) | Gheyn, Jacob de (1565-1629)",,English,,Ownership and Custodial History Note: Draper Fund,Military uniforms | History | Drums,still image,Engravings,,,http://digitalcollections.nypl.org/items/e80e5dd0-c54e-012f-ab43-58d385a7bc34
58164,Vereenigde Provincien der Nederlanden. Staatliche Ruiters.,"Vinkhuijzen, Hendrik Jacobus",,English,,Ownership and Custodial History Note: Draper Fund,Military uniforms | History | Drums | Brass instruments,still image,chromolithograph SEE ALSO color lithograph,,,http://digitalcollections.nypl.org/items/f8469d10-c54e-012f-c4d9-58d385a7bc34
58238,Vereenigde Provincien der Nederlanden. [Tambor],"Vinkhuijzen, Hendrik Jacobus",,English,,Ownership and Custodial History Note: Draper Fund,Military uniforms | History | Drums,still image,,,,http://digitalcollections.nypl.org/items/024aff80-c54f-012f-c787-58d385a7bc34
58250,Vereenigde Provincien der Nederlanden.,"Vinkhuijzen, Hendrik Jacobus",,English,,Ownership and Custodial History Note: Draper Fund,Military uniforms | History | Drums | Armies | Dutch | Wind instruments | Troop movements,still image,,,,http://digitalcollections.nypl.org/items/03f4d210-c54f-012f-b4c1-58d385a7bc34
58254,Vereenigde Provincien der Nederlanden.,"Vinkhuijzen, Hendrik Jacobus",,English,,Ownership and Custodial History Note: Draper Fund,Military uniforms | History | Drums | Armies | Dutch | Wind instruments | Troop movements,still image,,,,http://digitalcollections.nypl.org/items/04551a30-c54f-012f-a258-58d385a7bc34
58256,Vereenigde Provincien der Nederlanden.,"Vinkhuijzen, Hendrik Jacobus",,English,,Ownership and Custodial History Note: Draper Fund,Military uniforms | History | Drums | Wind instruments | Troop movements | Dutch,still image,,,,http://digitalcollections.nypl.org/items/04c79ce0-c54f-012f-f816-58d385a7bc34
58259,Vereenigde Provincien der Nederlanden.,"Vinkhuijzen, Hendrik Jacobus",,English,,Ownership and Custodial History Note: Draper Fund,Military uniforms | History | Drums | Armies | Dutch | Wind instruments | Troop movements,still image,,,,http://digitalcollections.nypl.org/items/053acb40-c54f-012f-c2df-58d385a7bc34
58383,Restaurant Drury Lane,"Buttolph, Frank E., Miss (d. 1924)",1942,English,,,,text | still image,Menus,,,http://digitalcollections.nypl.org/items/174038e0-c54f-012f-fe08-58d385a7bc34
58397,Vereenigde Provincien der Nederlanden. Tambor de Gardes des Staten der Holland en West-Friesland. 1670,"Vinkhuijzen, Hendrik Jacobus",,English,,Ownership and Custodial History Note: Draper Fund,Military uniforms | History | Drums,still image,pencil,,,http://digitalcollections.nypl.org/items/193b1c30-c54f-012f-201a-58d385a7bc34
58548,Vereenigde Provincien de Nederlanden.  Pauken Wagen.,"Vinkhuijzen, Hendrik Jacobus",,English,,,Military uniforms | History | Drums | Transportation,still image,watercolor,,,http://digitalcollections.nypl.org/items/2e93e230-c54f-012f-0f20-58d385a7bc34
58633,Vereenigde Provincien der Nederlanden.] [Trommelslager] 1715,"Vinkhuijzen, Hendrik Jacobus",,English,,,Military uniforms | History | Drums,still image,watercolor,,,http://digitalcollections.nypl.org/items/3a791ae0-c54f-012f-13e0-58d385a7bc34
58799,"Vereenigde Provincien der Nederlanden. Tambor, Hollandsche Guardes. 1750","Vinkhuijzen, Hendrik Jacobus",,English,,Ownership and Custodial History Note: Draper Fund,Military uniforms | History | Drums,still image,watercolor,,,http://digitalcollections.nypl.org/items/51849ff0-c54f-012f-6884-58d385a7bc34
58860,Vereenigde Provincien der Nederlanden. Paukenslager der Guardes te Paard. 1752,"Vinkhuijzen, Hendrik Jacobus",,English,,Ownership and Custodial History Note: Draper Fund,Military uniforms | History | Drums,still image,"pen & ink, watercolor",,,http://digitalcollections.nypl.org/items/5a37c050-c54f-012f-48f4-58d385a7bc34
58871,Vereenigde Provincien der Nederlanden. Trommelslager der Zwitserse Guardes. 1752,"Vinkhuijzen, Hendrik Jacobus",,English,,Ownership and Custodial History Note: Draper Fund,Military uniforms | History | Drums,still image,watercolor,,,http://digitalcollections.nypl.org/items/5bca0c90-c54f-012f-de89-58d385a7bc34
58891,Vereenigde Provincien der Nederlanden. Trommelslager der Hollandsch Guardes. 1752,"Vinkhuijzen, Hendrik Jacobus",,English,,Ownership and Custodial History Note: Draper Fund,Military uniforms | History | Drums,still image,watercolor,,,http://digitalcollections.nypl.org/items/5ef6c1e0-c54f-012f-2f27-58d385a7bc34
58905,Guardes te Paard [Trommelslager en Trompetters]. 1752,"Vinkhuijzen, Hendrik Jacobus",,English,,,Military uniforms | History | Drums | Brass instruments,still image,wood engraving -- colored,,,http://digitalcollections.nypl.org/items/61568f20-c54f-012f-6c0e-58d385a7bc34
58934,Hollandsche Guardes. 1752,"Vinkhuijzen, Hendrik Jacobus",,English,,,Military uniforms | History | Drums | guards | Wind instruments,still image,wood engraving -- colored,,,http://digitalcollections.nypl.org/items/653d4f20-c54f-012f-e633-58d385a7bc34
59439,Tamboer de Cent Switsers  van Prins Willem V. 1768,"Vinkhuijzen, Hendrik Jacobus",,English,,Ownership and Custodial History Note: Draper Fund,Military uniforms | History | Drums,still image,watercolor,,,http://digitalcollections.nypl.org/items/b4cc4c60-c54f-012f-a78d-58d385a7bc34
59483,1770-1783 :. Tamboers. 1770,"Vinkhuijzen, Hendrik Jacobus",,English,,Ownership and Custodial History Note: Draper Fund,Military uniforms | History | Drums,still image,watercolor,,,http://digitalcollections.nypl.org/items/bbbb57a0-c54f-012f-68dd-58d385a7bc34
59849,"Burgerij van Amsterdam, 1770-1783: Tamboers.","Vinkhuijzen, Hendrik Jacobus",,English,,Ownership and Custodial History Note: Draper Fund,Military uniforms | History | Drums,still image,,,,http://digitalcollections.nypl.org/items/f5cddf20-c54f-012f-4999-58d385a7bc34
59995,View in Jersey City.,,1870,,,"General Note: Views of Northern New Jersey including Hoboken, Bergen Hill and Weehawken, Jersey City, Mont Clair, Dundee Lake, Dunellen, Lake Mohatcong, Madison, Maywood, Milford, Manunka Chunk, Hackettstown, New Brunswick, Newton, Pompton Falls, Plainfield, Ridgefield, Wortendyke, and including street views, buildings, bridges, parks, homes, schools, piers, shops, cable railway, landscapes, a mine, cemeteries, railroad stations, hotels, interiors, drug stores, tents and group portraits.",Steamboats | Piers & wharves,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/0e81d2c0-c550-012f-fcbc-58d385a7bc34
59999,"Presbyterian Church, Jersey City.",,1870,,,"General Note: Views of Northern New Jersey including Hoboken, Bergen Hill and Weehawken, Jersey City, Mont Clair, Dundee Lake, Dunellen, Lake Mohatcong, Madison, Maywood, Milford, Manunka Chunk, Hackettstown, New Brunswick, Newton, Pompton Falls, Plainfield, Ridgefield, Wortendyke, and including street views, buildings, bridges, parks, homes, schools, piers, shops, cable railway, landscapes, a mine, cemeteries, railroad stations, hotels, interiors, drug stores, tents and group portraits.",Presbyterian churches,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/0ef1d390-c550-012f-c030-58d385a7bc34
60002,"Manunka Chunk, Warren County, New Jersey.","Delaware, Lackawanna and Western Railroad Company",1900,,,"General Note: Views of Northern New Jersey including Hoboken, Bergen Hill and Weehawken, Jersey City, Mont Clair, Dundee Lake, Dunellen, Lake Mohatcong, Madison, Maywood, Milford, Manunka Chunk, Hackettstown, New Brunswick, Newton, Pompton Falls, Plainfield, Ridgefield, Wortendyke, and including street views, buildings, bridges, parks, homes, schools, piers, shops, cable railway, landscapes, a mine, cemeteries, railroad stations, hotels, interiors, drug stores, tents and group portraits.",Railroad stations,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/0f443720-c550-012f-f351-58d385a7bc34
60005,"New York, from Hoboken.",,1865,,,"General Note: Views of Northern New Jersey including Hoboken, Bergen Hill and Weehawken, Jersey City, Mont Clair, Dundee Lake, Dunellen, Lake Mohatcong, Madison, Maywood, Milford, Manunka Chunk, Hackettstown, New Brunswick, Newton, Pompton Falls, Plainfield, Ridgefield, Wortendyke, and including street views, buildings, bridges, parks, homes, schools, piers, shops, cable railway, landscapes, a mine, cemeteries, railroad stations, hotels, interiors, drug stores, tents and group portraits.",Steamboats | Carts & wagons | Harbors,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/0fc6aee0-c550-012f-0ba2-58d385a7bc34
60008,"Cable Road, Hoboken, New Jersey.",,1880,,,"General Note: Views of Northern New Jersey including Hoboken, Bergen Hill and Weehawken, Jersey City, Mont Clair, Dundee Lake, Dunellen, Lake Mohatcong, Madison, Maywood, Milford, Manunka Chunk, Hackettstown, New Brunswick, Newton, Pompton Falls, Plainfield, Ridgefield, Wortendyke, and including street views, buildings, bridges, parks, homes, schools, piers, shops, cable railway, landscapes, a mine, cemeteries, railroad stations, hotels, interiors, drug stores, tents and group portraits.",Wetlands | Trestles | Street railroads,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/1044d160-c550-012f-9e94-58d385a7bc34
60011,Views of Lake Hopatcong.,,1895,,,"General Note: Views of Northern New Jersey including Hoboken, Bergen Hill and Weehawken, Jersey City, Mont Clair, Dundee Lake, Dunellen, Lake Mohatcong, Madison, Maywood, Milford, Manunka Chunk, Hackettstown, New Brunswick, Newton, Pompton Falls, Plainfield, Ridgefield, Wortendyke, and including street views, buildings, bridges, parks, homes, schools, piers, shops, cable railway, landscapes, a mine, cemeteries, railroad stations, hotels, interiors, drug stores, tents and group portraits.",Leisure | Tents | Camps,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/10ccf2c0-c550-012f-930b-58d385a7bc34
60013,Looking north across the meadows from near the brow of the [Bergen] Hill. Weehawken in the distance.,E. & H.T. Anthony (Firm),1870,,,"General Note: Views of Northern New Jersey including Hoboken, Bergen Hill and Weehawken, Jersey City, Mont Clair, Dundee Lake, Dunellen, Lake Mohatcong, Madison, Maywood, Milford, Manunka Chunk, Hackettstown, New Brunswick, Newton, Pompton Falls, Plainfield, Ridgefield, Wortendyke, and including street views, buildings, bridges, parks, homes, schools, piers, shops, cable railway, landscapes, a mine, cemeteries, railroad stations, hotels, interiors, drug stores, tents and group portraits.",Rocks | Sightseers,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/11285c80-c550-012f-65ad-58d385a7bc34
60016,"Stevens' Residence, Castle Point, Hoboken. Gateway and Lodge.","E. & H.T. Anthony (Firm) | Stevens, Edwin A. (Edwin Augustus), 1795-1868",1870,,,"General Note: Views of Northern New Jersey including Hoboken, Bergen Hill and Weehawken, Jersey City, Mont Clair, Dundee Lake, Dunellen, Lake Mohatcong, Madison, Maywood, Milford, Manunka Chunk, Hackettstown, New Brunswick, Newton, Pompton Falls, Plainfield, Ridgefield, Wortendyke, and including street views, buildings, bridges, parks, homes, schools, piers, shops, cable railway, landscapes, a mine, cemeteries, railroad stations, hotels, interiors, drug stores, tents and group portraits.",Homes & haunts,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/119f2c20-c550-012f-8a53-58d385a7bc34
60019,Wortendyke Station.,"Doremus, John P. (1827-1890) | E. & H.T. Anthony (Firm)",1870,,,"General Note: Views of Northern New Jersey including Hoboken, Bergen Hill and Weehawken, Jersey City, Mont Clair, Dundee Lake, Dunellen, Lake Mohatcong, Madison, Maywood, Milford, Manunka Chunk, Hackettstown, New Brunswick, Newton, Pompton Falls, Plainfield, Ridgefield, Wortendyke, and including street views, buildings, bridges, parks, homes, schools, piers, shops, cable railway, landscapes, a mine, cemeteries, railroad stations, hotels, interiors, drug stores, tents and group portraits.",Railroad stations | Building construction | Corn,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/12170460-c550-012f-50cc-58d385a7bc34
60021,"Residence of C.A. Wortendyke, at Wortendyke, N.Y.","Doremus, John P. (1827-1890) | E. & H.T. Anthony (Firm) | Wortendyke, C. A",1875,,,"General Note: Views of Northern New Jersey including Hoboken, Bergen Hill and Weehawken, Jersey City, Mont Clair, Dundee Lake, Dunellen, Lake Mohatcong, Madison, Maywood, Milford, Manunka Chunk, Hackettstown, New Brunswick, Newton, Pompton Falls, Plainfield, Ridgefield, Wortendyke, and including street views, buildings, bridges, parks, homes, schools, piers, shops, cable railway, landscapes, a mine, cemeteries, railroad stations, hotels, interiors, drug stores, tents and group portraits.",Fountains | Mansions | Homes and haunts,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/127d8910-c550-012f-b1f1-58d385a7bc34
60024,"Pompton Falls, Pompton, New Jersey.","E. & H.T. Anthony (Firm) | Doremus, John P. (1827-1890)",1870,,,"General Note: Views of Northern New Jersey including Hoboken, Bergen Hill and Weehawken, Jersey City, Mont Clair, Dundee Lake, Dunellen, Lake Mohatcong, Madison, Maywood, Milford, Manunka Chunk, Hackettstown, New Brunswick, Newton, Pompton Falls, Plainfield, Ridgefield, Wortendyke, and including street views, buildings, bridges, parks, homes, schools, piers, shops, cable railway, landscapes, a mine, cemeteries, railroad stations, hotels, interiors, drug stores, tents and group portraits.",Waterfalls,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/12f85b50-c550-012f-2b45-58d385a7bc34
60027,"Chas. C. Wells, Druggist, New Brunswick, N.J. [Interior of the Drugstore.]","Clark, D. --(David)",1870,,,"General Note: Views of Northern New Jersey including Hoboken, Bergen Hill and Weehawken, Jersey City, Mont Clair, Dundee Lake, Dunellen, Lake Mohatcong, Madison, Maywood, Milford, Manunka Chunk, Hackettstown, New Brunswick, Newton, Pompton Falls, Plainfield, Ridgefield, Wortendyke, and including street views, buildings, bridges, parks, homes, schools, piers, shops, cable railway, landscapes, a mine, cemeteries, railroad stations, hotels, interiors, drug stores, tents and group portraits.",Drugstores | Fans (Machinery),still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/135b0330-c550-012f-8d4f-58d385a7bc34
60029,View from King Block.,"Clark, D. --(David)",1870,,,"General Note: Views of Northern New Jersey including Hoboken, Bergen Hill and Weehawken, Jersey City, Mont Clair, Dundee Lake, Dunellen, Lake Mohatcong, Madison, Maywood, Milford, Manunka Chunk, Hackettstown, New Brunswick, Newton, Pompton Falls, Plainfield, Ridgefield, Wortendyke, and including street views, buildings, bridges, parks, homes, schools, piers, shops, cable railway, landscapes, a mine, cemeteries, railroad stations, hotels, interiors, drug stores, tents and group portraits.",Backyards | Churches,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/13be7550-c550-012f-fe3b-58d385a7bc34
60033,"Farm-House, Maywood Station.","Doremus, John P. (1827-1890)",1875,,,"General Note: Views of Northern New Jersey including Hoboken, Bergen Hill and Weehawken, Jersey City, Mont Clair, Dundee Lake, Dunellen, Lake Mohatcong, Madison, Maywood, Milford, Manunka Chunk, Hackettstown, New Brunswick, Newton, Pompton Falls, Plainfield, Ridgefield, Wortendyke, and including street views, buildings, bridges, parks, homes, schools, piers, shops, cable railway, landscapes, a mine, cemeteries, railroad stations, hotels, interiors, drug stores, tents and group portraits.",Railroad stations | Farmhouses,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/1434e520-c550-012f-3193-58d385a7bc34
60036,"Entrance to Cedar Lawn Cemetery, Dundee Lake.","Doremus, John P. (1827-1890)",1870,,,"General Note: Views of Northern New Jersey including Hoboken, Bergen Hill and Weehawken, Jersey City, Mont Clair, Dundee Lake, Dunellen, Lake Mohatcong, Madison, Maywood, Milford, Manunka Chunk, Hackettstown, New Brunswick, Newton, Pompton Falls, Plainfield, Ridgefield, Wortendyke, and including street views, buildings, bridges, parks, homes, schools, piers, shops, cable railway, landscapes, a mine, cemeteries, railroad stations, hotels, interiors, drug stores, tents and group portraits.",Cemeteries | Bell towers | Gatehouses,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/149e3370-c550-012f-946e-58d385a7bc34
60038,"Great Ocean Liners at the Docks, Hoboken, N.J. -- Showing Upper Manhattan Island and Hudson River.",Keystone View Company,1915,,,"General Note: Views of Northern New Jersey including Hoboken, Bergen Hill and Weehawken, Jersey City, Mont Clair, Dundee Lake, Dunellen, Lake Mohatcong, Madison, Maywood, Milford, Manunka Chunk, Hackettstown, New Brunswick, Newton, Pompton Falls, Plainfield, Ridgefield, Wortendyke, and including street views, buildings, bridges, parks, homes, schools, piers, shops, cable railway, landscapes, a mine, cemeteries, railroad stations, hotels, interiors, drug stores, tents and group portraits.",Piers & wharves | Ocean liners,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/14f701a0-c550-012f-3b18-58d385a7bc34
60041,"Steven's Castle, Hoboken, N.J. Home of Gen. McClellan.","Littleton View Co. | McClellan, George Brinton, 1826-1885",1880,,,"General Note: Views of Northern New Jersey including Hoboken, Bergen Hill and Weehawken, Jersey City, Mont Clair, Dundee Lake, Dunellen, Lake Mohatcong, Madison, Maywood, Milford, Manunka Chunk, Hackettstown, New Brunswick, Newton, Pompton Falls, Plainfield, Ridgefield, Wortendyke, and including street views, buildings, bridges, parks, homes, schools, piers, shops, cable railway, landscapes, a mine, cemeteries, railroad stations, hotels, interiors, drug stores, tents and group portraits.",Mansions | Homes and haunts,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/15597570-c550-012f-5ff7-58d385a7bc34
60044,"Steven's Castle, Hoboken, N.J. Home of Gen. McClellan.","McClellan, George Brinton, 1826-1885",1880,,,"General Note: Views of Northern New Jersey including Hoboken, Bergen Hill and Weehawken, Jersey City, Mont Clair, Dundee Lake, Dunellen, Lake Mohatcong, Madison, Maywood, Milford, Manunka Chunk, Hackettstown, New Brunswick, Newton, Pompton Falls, Plainfield, Ridgefield, Wortendyke, and including street views, buildings, bridges, parks, homes, schools, piers, shops, cable railway, landscapes, a mine, cemeteries, railroad stations, hotels, interiors, drug stores, tents and group portraits.",Mansions | Homes and haunts,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/15ba4e60-c550-012f-b17e-58d385a7bc34
60046,"St. Joseph's School, Madison, N.J. [Group portrait of students.]","Pach, G. W. (Gustavus W.) (1845-1904)",1875,,,"General Note: Views of Northern New Jersey including Hoboken, Bergen Hill and Weehawken, Jersey City, Mont Clair, Dundee Lake, Dunellen, Lake Mohatcong, Madison, Maywood, Milford, Manunka Chunk, Hackettstown, New Brunswick, Newton, Pompton Falls, Plainfield, Ridgefield, Wortendyke, and including street views, buildings, bridges, parks, homes, schools, piers, shops, cable railway, landscapes, a mine, cemeteries, railroad stations, hotels, interiors, drug stores, tents and group portraits.",Boys | Boarding schools,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/160ccc80-c550-012f-4096-58d385a7bc34
60049,"[View of a Taylor Shop, Main Street, Hackensack.]","Terhune, A. D.",1865,,,"General Note: Views of Northern New Jersey including Hoboken, Bergen Hill and Weehawken, Jersey City, Mont Clair, Dundee Lake, Dunellen, Lake Mohatcong, Madison, Maywood, Milford, Manunka Chunk, Hackettstown, New Brunswick, Newton, Pompton Falls, Plainfield, Ridgefield, Wortendyke, and including street views, buildings, bridges, parks, homes, schools, piers, shops, cable railway, landscapes, a mine, cemeteries, railroad stations, hotels, interiors, drug stores, tents and group portraits.",Carriages & coaches | Tailor shops | Commercial streets,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/16710e50-c550-012f-8966-58d385a7bc34
60052,"Old Meeting House, the day before it was taken down, 1861.","Thorn, G.",1875,,,"General Note: Views of Northern New Jersey including Hoboken, Bergen Hill and Weehawken, Jersey City, Mont Clair, Dundee Lake, Dunellen, Lake Mohatcong, Madison, Maywood, Milford, Manunka Chunk, Hackettstown, New Brunswick, Newton, Pompton Falls, Plainfield, Ridgefield, Wortendyke, and including street views, buildings, bridges, parks, homes, schools, piers, shops, cable railway, landscapes, a mine, cemeteries, railroad stations, hotels, interiors, drug stores, tents and group portraits.",Churches,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/16cd6370-c550-012f-5fb4-58d385a7bc34
60055,"Chestnut Lawn, Residence of Gen. Alexander Shaler, Ridgefield, N.J.","E. & H.T. Anthony (Firm) | Shaler, Alexander, 1827-1911",1875,,,"General Note: Views of Northern New Jersey including Hoboken, Bergen Hill and Weehawken, Jersey City, Mont Clair, Dundee Lake, Dunellen, Lake Mohatcong, Madison, Maywood, Milford, Manunka Chunk, Hackettstown, New Brunswick, Newton, Pompton Falls, Plainfield, Ridgefield, Wortendyke, and including street views, buildings, bridges, parks, homes, schools, piers, shops, cable railway, landscapes, a mine, cemeteries, railroad stations, hotels, interiors, drug stores, tents and group portraits.",Lawns | Homes and haunts,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/1719c480-c550-012f-9b9f-58d385a7bc34
60057,"Carey's Place, Mt. Clair.",,1875,,,"General Note: Views of Northern New Jersey including Hoboken, Bergen Hill and Weehawken, Jersey City, Mont Clair, Dundee Lake, Dunellen, Lake Mohatcong, Madison, Maywood, Milford, Manunka Chunk, Hackettstown, New Brunswick, Newton, Pompton Falls, Plainfield, Ridgefield, Wortendyke, and including street views, buildings, bridges, parks, homes, schools, piers, shops, cable railway, landscapes, a mine, cemeteries, railroad stations, hotels, interiors, drug stores, tents and group portraits.",Willows | Pedestrian bridges,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/177c1e20-c550-012f-eb15-58d385a7bc34
60060,"Carey's Place, Mt. Clair, N.J.",,1875,,,"General Note: Views of Northern New Jersey including Hoboken, Bergen Hill and Weehawken, Jersey City, Mont Clair, Dundee Lake, Dunellen, Lake Mohatcong, Madison, Maywood, Milford, Manunka Chunk, Hackettstown, New Brunswick, Newton, Pompton Falls, Plainfield, Ridgefield, Wortendyke, and including street views, buildings, bridges, parks, homes, schools, piers, shops, cable railway, landscapes, a mine, cemeteries, railroad stations, hotels, interiors, drug stores, tents and group portraits.",Streams | Willows,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/17c7c260-c550-012f-081c-58d385a7bc34
60063,"[View of a home in Hunterdon County, N.J.]",,1880,,,"General Note: Views of Northern New Jersey including Hoboken, Bergen Hill and Weehawken, Jersey City, Mont Clair, Dundee Lake, Dunellen, Lake Mohatcong, Madison, Maywood, Milford, Manunka Chunk, Hackettstown, New Brunswick, Newton, Pompton Falls, Plainfield, Ridgefield, Wortendyke, and including street views, buildings, bridges, parks, homes, schools, piers, shops, cable railway, landscapes, a mine, cemeteries, railroad stations, hotels, interiors, drug stores, tents and group portraits.",Families | Houses | Leisure,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/181e47b0-c550-012f-886b-58d385a7bc34
60065,[View of an orphanage in Hudson County.],"Gubelman, Theodore (1841-1926)",1870,,,"General Note: Views of Northern New Jersey including Hoboken, Bergen Hill and Weehawken, Jersey City, Mont Clair, Dundee Lake, Dunellen, Lake Mohatcong, Madison, Maywood, Milford, Manunka Chunk, Hackettstown, New Brunswick, Newton, Pompton Falls, Plainfield, Ridgefield, Wortendyke, and including street views, buildings, bridges, parks, homes, schools, piers, shops, cable railway, landscapes, a mine, cemeteries, railroad stations, hotels, interiors, drug stores, tents and group portraits.",Orphanages | Picket fences,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/187dfb60-c550-012f-0f9b-58d385a7bc34
60066,"[Presbyterian Church in Schooleys Mountain, Morris County.]",Kenney,1885,,,"General Note: Views of Northern New Jersey including Hoboken, Bergen Hill and Weehawken, Jersey City, Mont Clair, Dundee Lake, Dunellen, Lake Mohatcong, Madison, Maywood, Milford, Manunka Chunk, Hackettstown, New Brunswick, Newton, Pompton Falls, Plainfield, Ridgefield, Wortendyke, and including street views, buildings, bridges, parks, homes, schools, piers, shops, cable railway, landscapes, a mine, cemeteries, railroad stations, hotels, interiors, drug stores, tents and group portraits.",Churches,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/18cff8e0-c550-012f-7b49-58d385a7bc34
60069,"Musconetcong Mine, Shield's Farm, Beattyestown, N.J.","Naramore, D. H. --(Davis Hamish)",1885,,,"General Note: Views of Northern New Jersey including Hoboken, Bergen Hill and Weehawken, Jersey City, Mont Clair, Dundee Lake, Dunellen, Lake Mohatcong, Madison, Maywood, Milford, Manunka Chunk, Hackettstown, New Brunswick, Newton, Pompton Falls, Plainfield, Ridgefield, Wortendyke, and including street views, buildings, bridges, parks, homes, schools, piers, shops, cable railway, landscapes, a mine, cemeteries, railroad stations, hotels, interiors, drug stores, tents and group portraits.",Farms | Iron mining,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/1933b260-c550-012f-9284-58d385a7bc34
60072,Lake Oreda and Rustic Bridge.,"Thorn, G.",1880,,,"General Note: Views of Northern New Jersey including Hoboken, Bergen Hill and Weehawken, Jersey City, Mont Clair, Dundee Lake, Dunellen, Lake Mohatcong, Madison, Maywood, Milford, Manunka Chunk, Hackettstown, New Brunswick, Newton, Pompton Falls, Plainfield, Ridgefield, Wortendyke, and including street views, buildings, bridges, parks, homes, schools, piers, shops, cable railway, landscapes, a mine, cemeteries, railroad stations, hotels, interiors, drug stores, tents and group portraits.",Lakes & ponds | Leisure | Pedestrian bridges,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/19889b40-c550-012f-1a77-58d385a7bc34
60074,"Hotel Netherood, from the west. Plainfield, N.J.","Thorn, G.",1880,,,"General Note: Views of Northern New Jersey including Hoboken, Bergen Hill and Weehawken, Jersey City, Mont Clair, Dundee Lake, Dunellen, Lake Mohatcong, Madison, Maywood, Milford, Manunka Chunk, Hackettstown, New Brunswick, Newton, Pompton Falls, Plainfield, Ridgefield, Wortendyke, and including street views, buildings, bridges, parks, homes, schools, piers, shops, cable railway, landscapes, a mine, cemeteries, railroad stations, hotels, interiors, drug stores, tents and group portraits.",Hotels,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/19edfc60-c550-012f-997a-58d385a7bc34
60076,[Decoration of the Plainfield M.E. Church.],"Thorn, G.",,,,"General Note: Views of Northern New Jersey including Hoboken, Bergen Hill and Weehawken, Jersey City, Mont Clair, Dundee Lake, Dunellen, Lake Mohatcong, Madison, Maywood, Milford, Manunka Chunk, Hackettstown, New Brunswick, Newton, Pompton Falls, Plainfield, Ridgefield, Wortendyke, and including street views, buildings, bridges, parks, homes, schools, piers, shops, cable railway, landscapes, a mine, cemeteries, railroad stations, hotels, interiors, drug stores, tents and group portraits.",Interiors | Pews | Altars | Methodist Episcopal churches,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/1a6d8f20-c550-012f-9081-58d385a7bc34
60079,"Trinity Street, Newton, N.J.",,1880,,,"General Note: Views of Northern New Jersey including Hoboken, Bergen Hill and Weehawken, Jersey City, Mont Clair, Dundee Lake, Dunellen, Lake Mohatcong, Madison, Maywood, Milford, Manunka Chunk, Hackettstown, New Brunswick, Newton, Pompton Falls, Plainfield, Ridgefield, Wortendyke, and including street views, buildings, bridges, parks, homes, schools, piers, shops, cable railway, landscapes, a mine, cemeteries, railroad stations, hotels, interiors, drug stores, tents and group portraits.",Snow | Dirt roads,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/1af14b00-c550-012f-d40f-58d385a7bc34
